sheet_name,row_no,rule_id,category,item_name,check_item,severity,error_message,fix_action
P001,10,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P001,11,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P001,12,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P001,13,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P001,14,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P001,15,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P001,18,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P001,19,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P001,20,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P001,21,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P001,22,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P001,23,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P001,24,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P001,25,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P001,26,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P001,27,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P001,28,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P001,29,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P001,30,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P001,31,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
